Company Name,Full Description,Description,Founder Name,Founded In,Location,Category,No. of Employees,Company Website,Company Type,Technologies,Business Functions,Business Model,IndiaAI URL
Insight.AI,"At InsightAI, we are redefining fraud detection and Anti-Money Laundering","At InsightAI, we are redefining fraud detection and Anti-Money Laundering | Technologies: : Advanced AI models designed to tackle evolving fraud patterns. | Type: Blockchain company",am the,2022,"Delhi, India",,10,https://I.ai,Blockchain,: Advanced AI models designed to tackle evolving fraud patterns.,,,https://indiaai.gov.in/startup/insight-ai
fxis.ai,,"fxis.ai is a  company founded in 2015, based in Gujrat, India",Hemen Ashodia is the,2015,"Gujrat, India",,75,https://f.ai,Other,,,,https://indiaai.gov.in/startup/fxis-ai
Technit Space and Aero Works Pvt. Ltd.,TSAW Drones is dedicated to advancing drone technology,"TSAW Drones is dedicated to advancing drone technology | Technologies: TSAW Drones is dedicated to advancing drone technology to transform drone deliveries by making them more efficient, reliable, and secure. This is achieved through minimizing human intervention and reducing the likelihood of errors | Type: Logistics company",,2019,"Uttar pradesh, India",,30,https://forumias.com/blog/download-utkarsh-dwivedi-ias-rank-5-upsc-cse-2021-mgp-test-copies-testimonial-2/,Logistics,"TSAW Drones is dedicated to advancing drone technology to transform drone deliveries by making them more efficient, reliable, and secure. This is achieved through minimizing human intervention and reducing the likelihood of errors, allowing for more consistent and automated operations. Our drones, with payload capacities ranging from 500 grams to 20 kilograms and a range of up to 120 kilometers, are designed to meet a wide variety of delivery needs. At the core of our system is T-Suite a powerful integration of the Drone Cloud Intelligence System (DCIS), Unpiloted Traffic Management (UTM), and a log analyzer. T-Suite utilizes AI and machine learning to provide real-time remote control, ensure regulatory compliance, and analyze post-flight data, resulting in autonomous and highly efficient drones. This suite enables single-click operations and is equipped with advanced, human-like intelligence, setting a new benchmark for automation in drone technology and logistics.",,,https://indiaai.gov.in/startup/technit-space-and-aero-works-pvt-ltd
Surepass Technology,,Type: Technology company,,2019,"Delhi, India",,50,https://ST.ai,Technology,,,,https://indiaai.gov.in/startup/surepass-technology
VaidhyaMegha Private Limited!,"Vaidhyamegha Pvt Ltd leads the charge in healthcare innovation, leveraging cutting-edge AI and cloud technologies.","Vaidhyamegha Pvt Ltd leads the charge in healthcare innovation, leveraging cutting-edge AI and cloud technologies. | Type: Healthcare company",,2018,"Telangana, India",,35,https://VPL.ai,Healthcare,,,,https://indiaai.gov.in/startup/vaidhyamegha-private-limited
Aviara Labs,"Aviara Labs is a cutting-edge AI development company that delivers scalable, AI-driven solutions that transform...","Aviara Labs is a cutting-edge AI development company that delivers scalable, AI-driven solutions that transform... | Type: Other company",,2024,"Uttar Pradesh, India",,10,https://aviaralabs.com,Other,,,,https://indiaai.gov.in/startup/aviara-labs
Olbrain Labs,,"Technologies: Alchemist: The Autonomous AGI System for Engineering AI Specialists, Alchemist is an innovative AGI system developed by Olbrain Labs, designed to autonomously engineer AI specialists tailored for various Core Objective Functions (CoFs). Recognizing that traditional generalist AI models come with significant drawbacks—such as high costs | Type: AgriTech company",,2017,"Haryana, India",,5,https://olbrainlabs.com,AgriTech,"Alchemist: The Autonomous AGI System for Engineering AI Specialists, Alchemist is an innovative AGI system developed by Olbrain Labs, designed to autonomously engineer AI specialists tailored for various Core Objective Functions (CoFs). Recognizing that traditional generalist AI models come with significant drawbacks—such as high costs, data vulnerability, and uncontrollable outputs—Alchemist addresses these limitations by creating lightweight, domain-specific AI specialists., By training a unique learning model from scratch for each client, Alchemist eliminates the need for extensive, resource-intensive models while ensuring optimal performance and privacy through private cloud deployment. This approach allows businesses to harness the power of AI without the typical constraints associated with generalist systems., As a pivotal component of IndiaAGI, Alchemist aims to drive innovation across sectors like healthcare, agriculture, education, and manufacturing, ultimately fueling substantial economic growth. By retaining local talent and integrating cultural values, Alchemist not only enhances India’s technological capabilities but also ensures that the development of AGI aligns with ethical considerations., With Alchemist, Olbrain Labs is committed to positioning India as a key player in the global AGI landscape, ensuring that the future of this transformative technology benefits all.",,,https://indiaai.gov.in/startup/olbrain-labs
CUBO-BOTS Private Limited,,"CUBO-BOTS Private Limited is a  company founded in 2024, based in Tripura, India",,2024,"Tripura, India",,3,https://CPL.com,Other,,,,https://indiaai.gov.in/startup/cubo-bots-private-limited
SCIKIQ,"SCIKIQ is a trailblazing no-code, data Fabric platform that harnesses Generative AI","SCIKIQ is a trailblazing no-code, data Fabric platform that harnesses Generative AI | Type: SaaS company",Who are the,2023,"Haryana, India",,15,https://scikiq.com,SaaS,,,,https://indiaai.gov.in/startup/scikiq
discovermyAI,,"discovermyAI is a  company founded in 2024, based in Chandigarh, India",,2024,"Chandigarh, India",,12,https://discovermyai.com,Other,,,,https://indiaai.gov.in/startup/discovermyai
